datetime,PM2.5,PM10,O3,CO,NO2
2021-12-01 00:00:00,32,79,18.0,1.28,32.0
2021-12-01 01:00:00,27,78,19.0,1.23,29.0
2021-12-01 02:00:00,25,74,21.0,1.22,25.0
2021-12-01 03:00:00,33,72,30.0,1.15,18.0
2021-12-01 04:00:00,40,66,19.0,1.23,26.0
2021-12-01 05:00:00,48,67,8.0,1.54,41.0
2021-12-01 06:00:00,47,68,9.0,1.73,42.0
2021-12-01 07:00:00,42,68,8.0,2.06,43.0
2021-12-01 08:00:00,37,69,11.0,2.01,44.0
2021-12-01 09:00:00,35,77,13.0,1.75,42.0
2021-12-01 10:00:00,36,79,16.0,1.59,43.0
2021-12-01 11:00:00,35,74,17.0,1.57,42.0
2021-12-01 12:00:00,37,70,19.0,1.56,43.0
2021-12-01 13:00:00,38,71,22.0,1.49,40.0
2021-12-01 14:00:00,40,69,26.0,1.52,35.0
2021-12-01 15:00:00,36,67,28.0,1.47,35.0
2021-12-01 16:00:00,28,71,22.0,1.59,42.0
2021-12-01 17:00:00,27,72,19.0,1.7,45.0
2021-12-01 18:00:00,29,66,11.0,1.7,45.0
2021-12-01 19:00:00,32,70,11.0,2.41,56.0
2021-12-01 20:00:00,40,84,9.0,2.09,51.0
2021-12-01 21:00:00,43,88,11.0,1.8,45.0
2021-12-01 22:00:00,44,97,17.0,1.56,35.0
2021-12-01 23:00:00,44,94,20.0,1.43,30.0
2021-12-02 00:00:00,39,83,21.0,1.29,28.0
2021-12-02 01:00:00,33,80,31.0,1.15,20.0
2021-12-02 02:00:00,31,79,27.0,1.18,22.0
2021-12-02 03:00:00,29,75,21.0,1.21,26.0
2021-12-02 04:00:00,35,74,18.0,1.3,30.0
2021-12-02 05:00:00,39,77,15.0,1.42,32.0
2021-12-02 06:00:00,35,74,7.0,1.81,41.0
2021-12-02 07:00:00,36,72,9.0,2.11,42.0
2021-12-02 08:00:00,35,74,9.0,2.2,44.0
2021-12-02 09:00:00,32,79,11.0,1.68,39.0
