datetime,PM10,PM2.5,CO,NO2,NO,NOX
2021-10-16 00:00:00,57,15,0,22,6,27
2021-10-16 01:00:00,64,12,0,19,1,20
2021-10-16 02:00:00,48,12,0,14,4,18
2021-10-16 03:00:00,27,11,0,10,2,12
2021-10-16 04:00:00,47,12,0,16,7,23
2021-10-16 05:00:00,54,13,0,18,19,36
2021-10-16 06:00:00,58,14,0,18,45,63
2021-10-16 07:00:00,64,18,0,17,60,78
2021-10-16 08:00:00,75,23,1,17,76,93
2021-10-16 09:00:00,79,28,1,22,54,76
2021-10-16 10:00:00,74,22,1,26,34,60
2021-10-16 11:00:00,61,18,1,26,27,53
2021-10-16 12:00:00,62,16,1,24,26,50
2021-10-16 13:00:00,56,16,2,22,16,38
2021-10-16 14:00:00,40,14,2,21,21,42
2021-10-16 15:00:00,47,12,2,20,20,40
2021-10-16 16:00:00,56,12,2,22,19,41
2021-10-16 17:00:00,40,17,1,20,15,35
2021-10-16 18:00:00,50,15,1,18,18,36
2021-10-16 19:00:00,54,13,1,19,26,44
2021-10-16 20:00:00,45,10,1,17,10,27
2021-10-16 21:00:00,42,11,0,17,13,30
2021-10-16 22:00:00,38,13,0,16,7,23
2021-10-16 23:00:00,36,13,0,18,18,36
2021-10-17 00:00:00,34,15,0,18,12,30
2021-10-17 01:00:00,41,14,0,11,1,12
2021-10-17 02:00:00,27,8,0,6,0,6
2021-10-17 03:00:00,21,5,0,8,1,9
2021-10-17 04:00:00,21,7,0,5,0,6
2021-10-17 05:00:00,24,7,0,17,25,42
2021-10-17 06:00:00,29,6,0,22,61,83
2021-10-17 07:00:00,27,11,0,18,29,47
2021-10-17 08:00:00,32,10,1,23,80,104
2021-10-17 09:00:00,38,12,1,22,49,72
2021-10-17 10:00:00,32,10,1,25,36,60
2021-10-17 11:00:00,32,9,1,35,87,122
2021-10-17 12:00:00,51,19,1,32,40,72
2021-10-17 13:00:00,34,15,1,33,43,76
2021-10-17 14:00:00,49,12,1,34,45,78
