No,date,time,PM2.5,PM10,O3,CO,NO2
1,2021-12-01,00:00 - 01:00,32,79,18,1.28,32
2,2021-12-01,01:00 - 02:00,27,78,19,1.23,29
3,2021-12-01,02:00 - 03:00,25,74,21,1.22,25
4,2021-12-01,03:00 - 04:00,33,72,30,1.15,18
5,2021-12-01,04:00 - 05:00,40,66,19,1.23,26
6,2021-12-01,05:00 - 06:00,48,67,8,1.54,41
7,2021-12-01,06:00 - 07:00,47,68,9,1.73,42
8,2021-12-01,07:00 - 08:00,42,68,8,2.06,43
9,2021-12-01,08:00 - 09:00,37,69,11,2.01,44
10,2021-12-01,09:00 - 10:00,35,77,13,1.75,42
11,2021-12-01,10:00 - 11:00,36,79,16,1.59,43
12,2021-12-01,11:00 - 12:00,35,74,17,1.57,42
13,2021-12-01,12:00 - 13:00,37,70,19,1.56,43
14,2021-12-01,13:00 - 14:00,38,71,22,1.49,40
15,2021-12-01,14:00 - 15:00,40,69,26,1.52,35
16,2021-12-01,15:00 - 16:00,36,67,28,1.47,35
17,2021-12-01,16:00 - 17:00,28,71,22,1.59,42
18,2021-12-01,17:00 - 18:00,27,72,19,1.7,45
19,2021-12-01,18:00 - 19:00,29,66,11,N/A,N/A
20,2021-12-01,19:00 - 20:00,32,70,N/A,2.41,56
21,2021-12-01,20:00 - 21:00,40,84,9,2.09,51
22,2021-12-01,21:00 - 22:00,43,88,11,1.8,45
23,2021-12-01,22:00 - 23:00,44,97,17,1.56,35
24,2021-12-01,23:00 - 24:00,44,94,20,1.43,30
25,2021-12-02,00:00 - 01:00,39,83,21,1.29,28
26,2021-12-02,01:00 - 02:00,33,80,31,1.15,20
27,2021-12-02,02:00 - 03:00,31,79,27,1.18,22
28,2021-12-02,03:00 - 04:00,29,75,21,1.21,26
29,2021-12-02,04:00 - 05:00,35,74,18,1.3,30
30,2021-12-02,05:00 - 06:00,39,77,15,1.42,32
31,2021-12-02,06:00 - 07:00,35,74,7,1.81,41
32,2021-12-02,07:00 - 08:00,36,72,9,2.11,42
33,2021-12-02,08:00 - 09:00,35,74,9,2.2,44
34,2021-12-02,09:00 - 10:00,32,79,11,1.68,39
35,2021-12-02,10:00 - 11:00,37,83,13,1.76,45
36,2021-12-02,11:00 - 12:00,38,91,19,1.59,41
37,2021-12-02,12:00 - 13:00,42,83,19,1.82,46
38,2021-12-02,13:00 - 14:00,37,83,22,1.84,48
39,2021-12-02,14:00 - 15:00,39,84,26,1.76,51
40,2021-12-02,15:00 - 16:00,35,80,25,1.77,59
41,2021-12-02,16:00 - 17:00,30,86,29,1.75,50
42,2021-12-02,17:00 - 18:00,30,88,26,N/A,N/A
43,2021-12-02,18:00 - 19:00,29,82,N/A,1.99,55
44,2021-12-02,19:00 - 20:00,33,79,14,1.85,49
45,2021-12-02,20:00 - 21:00,36,78,15,1.71,46
46,2021-12-02,21:00 - 22:00,36,77,10,1.79,48
47,2021-12-02,22:00 - 23:00,38,73,6,1.98,51
48,2021-12-02,23:00 - 24:00,39,77,7,1.55,45
49,2021-12-03,00:00 - 01:00,32,85,7,1.72,43
50,2021-12-03,01:00 - 02:00,31,90,3,1.71,47
51,2021-12-03,02:00 - 03:00,35,96,3,1.59,48
52,2021-12-03,03:00 - 04:00,39,101,3,1.58,45
53,2021-12-03,04:00 - 05:00,42,98,2,1.71,47
54,2021-12-03,05:00 - 06:00,43,98,1,2.04,49
55,2021-12-03,06:00 - 07:00,45,102,1,2.66,54
56,2021-12-03,07:00 - 08:00,47,105,5,2.42,45
57,2021-12-03,08:00 - 09:00,46,103,7,2.36,50
58,2021-12-03,09:00 - 10:00,42,98,12,1.92,53
59,2021-12-03,10:00 - 11:00,41,90,19,1.64,48
60,2021-12-03,11:00 - 12:00,41,79,25,1.56,46
61,2021-12-03,12:00 - 13:00,36,76,31,1.46,39
62,2021-12-03,13:00 - 14:00,36,72,29,1.65,48
63,2021-12-03,14:00 - 15:00,31,65,30,1.93,60
64,2021-12-03,15:00 - 16:00,32,65,29,1.88,79
65,2021-12-03,16:00 - 17:00,32,70,32,N/A,N/A
66,2021-12-03,17:00 - 18:00,31,70,N/A,N/A,N/A
67,2021-12-03,18:00 - 19:00,30,69,N/A,N/A,N/A
68,2021-12-03,19:00 - 20:00,29,77,N/A,N/A,N/A
69,2021-12-03,20:00 - 21:00,28,75,N/A,N/A,N/A
70,2021-12-03,21:00 - 22:00,29,78,3,2.19,61
71,2021-12-03,22:00 - 23:00,30,95,8,1.72,52
72,2021-12-03,23:00 - 24:00,27,91,5,1.76,54
73,2021-12-04,00:00 - 01:00,32,83,5,1.73,49
74,2021-12-04,01:00 - 02:00,27,85,5,1.63,50
75,2021-12-04,02:00 - 03:00,29,96,8,1.42,48
76,2021-12-04,03:00 - 04:00,35,82,4,1.51,50
77,2021-12-04,04:00 - 05:00,34,87,2,1.6,49
78,2021-12-04,05:00 - 06:00,32,87,4,1.81,50
79,2021-12-04,06:00 - 07:00,32,83,10,1.57,42
80,2021-12-04,07:00 - 08:00,31,90,11,1.7,43
81,2021-12-04,08:00 - 09:00,28,91,15,1.83,46
82,2021-12-04,09:00 - 10:00,38,90,17,1.64,53
83,2021-12-04,10:00 - 11:00,43,78,20,1.69,54
84,2021-12-04,11:00 - 12:00,40,87,32,1.34,44
85,2021-12-04,12:00 - 13:00,43,77,35,1.55,48
86,2021-12-04,13:00 - 14:00,36,74,30,1.65,60
87,2021-12-04,14:00 - 15:00,39,80,39,1.63,54
88,2021-12-04,15:00 - 16:00,33,86,39,N/A,N/A
89,2021-12-04,16:00 - 17:00,27,78,N/A,1.6,68
90,2021-12-04,17:00 - 18:00,27,81,25,1.62,63
91,2021-12-04,18:00 - 19:00,30,87,12,2.23,68
92,2021-12-04,19:00 - 20:00,36,94,5,2.68,75
93,2021-12-04,20:00 - 21:00,41,100,4,2.59,72
94,2021-12-04,21:00 - 22:00,49,101,5,2.01,61
95,2021-12-04,22:00 - 23:00,46,108,8,1.66,50
96,2021-12-04,23:00 - 24:00,44,97,18,1.32,38
97,2021-12-05,00:00 - 01:00,34,79,18,1.36,38
98,2021-12-05,01:00 - 02:00,31,75,14,1.23,40
99,2021-12-05,02:00 - 03:00,32,81,9,1.2,45
100,2021-12-05,03:00 - 04:00,35,85,20,1.11,29
101,2021-12-05,04:00 - 05:00,36,82,17,1.21,33
102,2021-12-05,05:00 - 06:00,37,76,12,1.34,40
103,2021-12-05,06:00 - 07:00,34,84,8,1.52,43
104,2021-12-05,07:00 - 08:00,28,84,9,1.64,40
105,2021-12-05,08:00 - 09:00,37,89,12,1.68,42
106,2021-12-05,09:00 - 10:00,42,92,17,1.66,41
107,2021-12-05,10:00 - 11:00,60,89,28,1.45,36
108,2021-12-05,11:00 - 12:00,48,89,34,1.32,36
109,2021-12-05,12:00 - 13:00,44,80,37,1.34,36
110,2021-12-05,13:00 - 14:00,42,82,35,1.32,46
111,2021-12-05,14:00 - 15:00,32,82,35,N/A,N/A
112,2021-12-05,15:00 - 16:00,36,74,N/A,N/A,N/A
113,2021-12-05,16:00 - 17:00,33,78,N/A,N/A,N/A
114,2021-12-05,17:00 - 18:00,37,74,N/A,N/A,N/A
115,2021-12-05,18:00 - 19:00,38,82,N/A,N/A,N/A
116,2021-12-05,19:00 - 20:00,39,80,9,1.84,56
117,2021-12-05,20:00 - 21:00,39,80,6,1.81,61
118,2021-12-05,21:00 - 22:00,50,84,6,1.69,57
119,2021-12-05,22:00 - 23:00,44,80,7,1.61,52
