No,date,time,PM2.5,PM10,O3,CO,NO2
121,2022-01-06,00:00 - 01:00,50,104,2,1.32,61
122,2022-01-06,01:00 - 02:00,48,98,7,0.94,51
123,2022-01-06,02:00 - 03:00,48,93,5,1.12,54
124,2022-01-06,03:00 - 04:00,45,88,2,1.31,55
125,2022-01-06,04:00 - 05:00,44,93,2,1.7,59
126,2022-01-06,05:00 - 06:00,49,105,2,N/A,N/A
127,2022-01-06,06:00 - 07:00,56,114,N/A,2.71,56
128,2022-01-06,07:00 - 08:00,62,118,2,3,57
129,2022-01-06,08:00 - 09:00,59,117,3,2.09,60
130,2022-01-06,09:00 - 10:00,62,114,7,1.36,57
131,2022-01-06,10:00 - 11:00,67,102,14,1.26,54
132,2022-01-06,11:00 - 12:00,58,87,22,1.04,55
133,2022-01-06,12:00 - 13:00,46,78,28,1.04,54
134,2022-01-06,13:00 - 14:00,36,71,30,0.77,46
135,2022-01-06,14:00 - 15:00,32,71,28,0.83,53
136,2022-01-06,15:00 - 16:00,28,71,30,0.74,48
137,2022-01-06,16:00 - 17:00,23,66,29,0.81,49
138,2022-01-06,17:00 - 18:00,28,61,19,1.3,67
139,2022-01-06,18:00 - 19:00,33,60,9,1.69,74
140,2022-01-06,19:00 - 20:00,36,67,9,2,87
141,2022-01-06,20:00 - 21:00,42,81,13,1.73,74
142,2022-01-06,21:00 - 22:00,46,90,4,1.83,88
143,2022-01-06,22:00 - 23:00,49,102,2,2.22,91
144,2022-01-06,23:00 - 24:00,53,118,1,2.05,85
145,2022-01-07,00:00 - 01:00,60,125,3,1.4,77
146,2022-01-07,01:00 - 02:00,68,128,7,1.36,75
147,2022-01-07,02:00 - 03:00,73,134,2,1.59,77
148,2022-01-07,03:00 - 04:00,75,139,2,1.72,72
149,2022-01-07,04:00 - 05:00,73,138,3,N/A,N/A
150,2022-01-07,05:00 - 06:00,70,136,N/A,N/A,N/A
151,2022-01-07,06:00 - 07:00,74,138,N/A,N/A,N/A
152,2022-01-07,07:00 - 08:00,79,157,3,2.88,66
153,2022-01-07,08:00 - 09:00,56,126,4,2.69,72
154,2022-01-07,09:00 - 10:00,91,144,10,1.9,70
155,2022-01-07,10:00 - 11:00,59,125,14,1.29,56
156,2022-01-07,11:00 - 12:00,35,96,20,1.01,52
157,2022-01-07,12:00 - 13:00,39,64,21,1.14,55
158,2022-01-07,13:00 - 14:00,27,65,22,1.11,50
159,2022-01-07,14:00 - 15:00,39,68,24,1.02,51
160,2022-01-07,15:00 - 16:00,37,66,19,1.12,57
161,2022-01-07,16:00 - 17:00,30,73,19,1.23,55
162,2022-01-07,17:00 - 18:00,29,64,15,1.25,59
163,2022-01-07,18:00 - 19:00,35,68,5,1.95,63
164,2022-01-07,19:00 - 20:00,43,74,3,2.7,68
165,2022-01-07,20:00 - 21:00,47,92,3,1.97,65
166,2022-01-07,21:00 - 22:00,43,96,4,1.54,75
167,2022-01-07,22:00 - 23:00,33,117,5,1.5,76
168,2022-01-07,23:00 - 24:00,37,110,3,1.36,72
169,2022-01-08,00:00 - 01:00,38,107,2,1.41,69
170,2022-01-08,01:00 - 02:00,45,104,2,1.04,61
171,2022-01-08,02:00 - 03:00,44,115,2,1.13,59
172,2022-01-08,03:00 - 04:00,47,113,4,N/A,N/A
173,2022-01-08,04:00 - 05:00,43,105,N/A,1.02,52
174,2022-01-08,05:00 - 06:00,39,106,1,2.04,55
175,2022-01-08,06:00 - 07:00,41,105,1,2.09,55
176,2022-01-08,07:00 - 08:00,39,104,2,1.35,49
177,2022-01-08,08:00 - 09:00,42,110,5,1.34,43
178,2022-01-08,09:00 - 10:00,47,99,9,0.97,44
179,2022-01-08,10:00 - 11:00,43,90,12,0.99,48
180,2022-01-08,11:00 - 12:00,39,93,18,0.83,47
181,2022-01-08,12:00 - 13:00,38,83,22,0.83,54
182,2022-01-08,13:00 - 14:00,35,81,24,0.65,47
183,2022-01-08,14:00 - 15:00,37,77,24,0.57,44
184,2022-01-08,15:00 - 16:00,36,71,23,0.58,46
185,2022-01-08,16:00 - 17:00,27,64,22,0.79,54
186,2022-01-08,17:00 - 18:00,27,67,12,1.27,66
187,2022-01-08,18:00 - 19:00,35,76,20,1.34,76
188,2022-01-08,19:00 - 20:00,39,79,11,1.68,82
189,2022-01-08,20:00 - 21:00,42,87,5,1.74,88
190,2022-01-08,21:00 - 22:00,42,97,3,1.7,82
191,2022-01-08,22:00 - 23:00,43,107,3,1.67,74
192,2022-01-08,23:00 - 24:00,40,111,5,1.31,69
193,2022-01-09,00:00 - 01:00,46,105,5,1.23,67
194,2022-01-09,01:00 - 02:00,50,114,4,1.55,70
195,2022-01-09,02:00 - 03:00,53,119,3,N/A,N/A
196,2022-01-09,03:00 - 04:00,59,117,N/A,1.79,60
197,2022-01-09,04:00 - 05:00,56,116,2,1.78,65
198,2022-01-09,05:00 - 06:00,51,122,2,2,63
199,2022-01-09,06:00 - 07:00,59,132,2,2.09,60
200,2022-01-09,07:00 - 08:00,67,143,2,2.16,60
201,2022-01-09,08:00 - 09:00,76,140,5,1.67,56
202,2022-01-09,09:00 - 10:00,75,142,11,1.05,51
203,2022-01-09,10:00 - 11:00,65,129,17,0.92,45
204,2022-01-09,11:00 - 12:00,56,117,22,0.69,46
205,2022-01-09,12:00 - 13:00,47,90,24,0.65,50
206,2022-01-09,13:00 - 14:00,38,79,34,0.64,38
207,2022-01-09,14:00 - 15:00,41,72,32,0.46,34
208,2022-01-09,15:00 - 16:00,35,68,25,0.56,41
209,2022-01-09,16:00 - 17:00,29,69,21,0.62,41
210,2022-01-09,17:00 - 18:00,28,61,15,1.01,49
211,2022-01-09,18:00 - 19:00,30,62,6,1.44,65
212,2022-01-09,19:00 - 20:00,32,70,2,1.99,65
213,2022-01-09,20:00 - 21:00,25,71,1,2.01,70
214,2022-01-09,21:00 - 22:00,37,83,1,2.02,70
215,2022-01-09,22:00 - 23:00,39,90,2,1.52,65
216,2022-01-09,23:00 - 24:00,41,98,1,1.57,64
217,2022-01-10,00:00 - 01:00,45,101,1,1.56,61
218,2022-01-10,01:00 - 02:00,40,96,1,N/A,N/A
219,2022-01-10,02:00 - 03:00,48,92,N/A,N/A,N/A
220,2022-01-10,03:00 - 04:00,41,83,N/A,N/A,N/A
221,2022-01-10,04:00 - 05:00,45,91,1,1.76,63
222,2022-01-10,05:00 - 06:00,47,115,1,2.16,66
223,2022-01-10,06:00 - 07:00,52,127,2,2.98,69
224,2022-01-10,07:00 - 08:00,72,137,3,4.05,65
225,2022-01-10,08:00 - 09:00,94,154,4,2.55,70
226,2022-01-10,09:00 - 10:00,85,148,10,1.72,65
227,2022-01-10,10:00 - 11:00,71,117,13,1.38,65
228,2022-01-10,11:00 - 12:00,46,85,16,0.98,56
229,2022-01-10,12:00 - 13:00,33,73,25,0.8,54
230,2022-01-10,13:00 - 14:00,30,65,22,0.85,62
231,2022-01-10,14:00 - 15:00,28,60,19,1,68
232,2022-01-10,15:00 - 16:00,31,59,37,1.01,57
233,2022-01-10,16:00 - 17:00,34,67,36,1.31,57
234,2022-01-10,17:00 - 18:00,38,82,27,1.87,63
235,2022-01-10,18:00 - 19:00,53,92,24,1.5,46
236,2022-01-10,19:00 - 20:00,49,89,9,1.16,49
237,2022-01-10,20:00 - 21:00,38,78,7,0.9,43
238,2022-01-10,21:00 - 22:00,31,72,2,1.06,49
239,2022-01-10,22:00 - 23:00,32,74,2,0.93,45
240,2022-01-10,23:00 - 24:00,36,76,1,1.38,49
241,2022-01-11,00:00 - 01:00,34,76,1,N/A,N/A
242,2022-01-11,01:00 - 02:00,36,76,N/A,0.99,50
243,2022-01-11,02:00 - 03:00,37,74,3,0.96,52
244,2022-01-11,03:00 - 04:00,30,73,3,1.03,60
245,2022-01-11,04:00 - 05:00,25,81,3,1.37,64
246,2022-01-11,05:00 - 06:00,29,90,3,2.21,59
247,2022-01-11,06:00 - 07:00,36,93,3,2.32,55
248,2022-01-11,07:00 - 08:00,44,105,5,2.91,54
