datetime,PM2.5,PM10,CO,NO2,NO,NOX
2021-10-16 00:00:00,7,0.0,64,27,89,1009
2021-10-16 01:00:00,11,0.1,108,27,90,1008
2021-10-16 02:00:00,12,0.1,109,27,92,1008
2021-10-16 03:00:00,18,0.0,114,26,94,1008
2021-10-16 04:00:00,16,0.0,107,26,94,1008
2021-10-16 05:00:00,20,0.1,103,26,95,1008
2021-10-16 06:00:00,25,0.1,48,26,94,1008
2021-10-16 07:00:00,24,0.0,198,27,93,1009
2021-10-16 08:00:00,27,0.1,42,27,92,1010
2021-10-16 09:00:00,31,0.1,136,29,79,1010
2021-10-16 10:00:00,21,0.2,139,32,68,1011
2021-10-16 11:00:00,19,0.2,135,33,63,1011
2021-10-16 12:00:00,16,0.3,135,33,63,1010
2021-10-16 13:00:00,16,0.3,126,33,61,1009
2021-10-16 14:00:00,15,0.3,128,33,61,1008
2021-10-16 15:00:00,15,0.3,125,33,60,1007
2021-10-16 16:00:00,14,0.3,133,33,61,1007
2021-10-16 17:00:00,16,0.3,154,32,66,1008
2021-10-16 18:00:00,14,0.4,219,29,69,1009
2021-10-16 19:00:00,15,0.2,192,28,71,1009
2021-10-16 20:00:00,14,0.1,161,29,75,1010
2021-10-16 21:00:00,13,0.1,137,29,79,1011
2021-10-16 22:00:00,10,0.1,119,29,81,1012
2021-10-16 23:00:00,12,0.1,242,28,86,1012
2021-10-17 00:00:00,9,0.4,44,26,93,1012
2021-10-17 01:00:00,6,0.4,42,25,97,1012
2021-10-17 02:00:00,12,0.1,69,25,97,1011
2021-10-17 03:00:00,11,0.2,239,25,99,1011
2021-10-17 04:00:00,6,0.3,240,24,99,1010
2021-10-17 05:00:00,2,0.5,250,24,100,1010
2021-10-17 06:00:00,0,1.2,252,23,100,1011
2021-10-17 07:00:00,2,0.6,247,23,100,1012
2021-10-17 08:00:00,5,0.3,46,23,100,1013
2021-10-17 09:00:00,6,0.6,42,24,100,1014
2021-10-17 10:00:00,10,0.2,67,24,100,1015
2021-10-17 11:00:00,11,0.1,81,24,100,1015
2021-10-17 12:00:00,10,0.1,125,24,97,1014
2021-10-17 13:00:00,12,0.5,52,24,95,1013
2021-10-17 14:00:00,19,0.4,53,25,96,1012
2021-10-17 15:00:00,11,0.1,302,24,97,1011
2021-10-17 16:00:00,12,0.2,100,24,99,1011
2021-10-17 17:00:00,16,0.1,228,24,100,1011
2021-10-17 18:00:00,22,0.1,234,24,99,1011
2021-10-17 19:00:00,12,0.1,244,23,99,1012
2021-10-17 20:00:00,11,0.0,253,23,99,1013
2021-10-17 21:00:00,14,0.1,252,24,98,1014
2021-10-17 22:00:00,25,0.0,240,24,99,1014
2021-10-17 23:00:00,24,0.1,264,24,99,1014
2021-10-18 00:00:00,26,0.1,292,23,99,1014
2021-10-18 01:00:00,8,0.1,233,22,99,1013
2021-10-18 02:00:00,6,0.1,253,22,100,1012
2021-10-18 03:00:00,13,0.3,48,23,100,1012
2021-10-18 04:00:00,14,0.3,39,23,100,1011
2021-10-18 05:00:00,10,0.4,246,23,100,1011
2021-10-18 06:00:00,8,0.2,253,23,100,1011
2021-10-18 07:00:00,8,0.9,246,23,99,1012
2021-10-18 08:00:00,8,0.2,60,23,98,1013
2021-10-18 09:00:00,11,1.1,57,24,93,1013
2021-10-18 10:00:00,8,1.5,40,26,81,1014
2021-10-18 11:00:00,9,1.2,41,27,74,1014
2021-10-18 12:00:00,10,1.0,40,27,73,1013
2021-10-18 13:00:00,11,0.6,51,27,72,1012
2021-10-18 14:00:00,12,0.4,63,27,72,1011
2021-10-18 15:00:00,14,0.7,37,26,73,1011
2021-10-18 16:00:00,16,0.7,41,27,73,1010
2021-10-18 17:00:00,12,0.1,41,26,78,1011
2021-10-18 18:00:00,16,0.4,64,25,82,1011
2021-10-18 19:00:00,12,0.3,251,25,83,1012
2021-10-18 20:00:00,19,0.2,63,25,85,1013
2021-10-18 21:00:00,17,0.0,32,25,87,1014
2021-10-18 22:00:00,18,0.3,67,24,89,1015
2021-10-18 23:00:00,15,0.4,72,24,91,1015
2021-10-19 00:00:00,17,0.2,248,24,92,1015
2021-10-19 01:00:00,27,0.4,244,24,92,1015
2021-10-19 02:00:00,13,0.0,48,24,94,1015
2021-10-19 03:00:00,15,0.2,244,24,93,1014
2021-10-19 04:00:00,23,0.2,249,24,95,1014
2021-10-19 05:00:00,13,0.2,255,24,96,1014
2021-10-19 06:00:00,15,0.3,256,24,96,1014
2021-10-19 07:00:00,4,0.1,58,24,95,1015
2021-10-19 08:00:00,15,0.1,251,25,93,1016
2021-10-19 09:00:00,14,0.4,59,26,90,1016
2021-10-19 10:00:00,20,0.1,3,27,84,1017
2021-10-19 11:00:00,16,0.2,11,28,80,1016
2021-10-19 12:00:00,20,0.4,43,29,76,1015
2021-10-19 13:00:00,21,0.2,45,30,72,1015
2021-10-19 14:00:00,22,0.1,21,30,71,1014
2021-10-19 15:00:00,31,0.1,300,30,72,1013
2021-10-19 16:00:00,27,0.6,245,29,76,1013
2021-10-19 17:00:00,23,0.5,248,30,74,1013
2021-10-19 18:00:00,25,0.5,246,29,76,1013
2021-10-19 19:00:00,28,0.2,251,28,80,1014
2021-10-19 20:00:00,29,0.0,358,27,83,1014
2021-10-19 21:00:00,35,0.2,64,27,86,1015
2021-10-19 22:00:00,33,0.1,43,27,87,1016
2021-10-19 23:00:00,27,0.1,43,27,88,1016
2021-10-20 00:00:00,33,0.0,305,26,89,1016
2021-10-20 01:00:00,32,0.1,252,26,90,1016
2021-10-20 02:00:00,46,0.2,255,26,93,1015
2021-10-20 03:00:00,60,0.3,246,25,93,1015
2021-10-20 04:00:00,48,0.2,257,25,95,1015
2021-10-20 05:00:00,40,0.1,273,25,96,1015
2021-10-20 06:00:00,36,0.2,252,25,97,1015
2021-10-20 07:00:00,31,0.1,280,25,98,1016
2021-10-20 08:00:00,39,0.5,248,26,95,1016
2021-10-20 09:00:00,31,0.6,248,28,85,1017
2021-10-20 10:00:00,19,0.2,295,30,78,1018
2021-10-20 11:00:00,13,0.7,248,30,74,1017
2021-10-20 12:00:00,21,0.2,265,32,67,1016
2021-10-20 13:00:00,19,0.2,280,32,66,1015
2021-10-20 14:00:00,21,0.2,32,32,64,1014
2021-10-20 15:00:00,16,0.3,257,32,66,1013
2021-10-20 16:00:00,18,0.4,249,32,66,1012
2021-10-20 17:00:00,18,0.1,231,31,68,1012
2021-10-20 18:00:00,21,0.1,130,30,79,1012
2021-10-20 19:00:00,38,0.0,128,30,81,1012
2021-10-20 20:00:00,45,0.1,36,29,82,1013
2021-10-20 21:00:00,55,0.1,93,29,84,1013
2021-10-20 22:00:00,55,0.1,115,29,85,1014
2021-10-20 23:00:00,51,0.1,95,28,88,1015
2021-10-21 00:00:00,53,0.1,119,28,89,1014
2021-10-21 01:00:00,59,0.0,26,28,91,1014
2021-10-21 02:00:00,68,0.0,97,27,93,1014
2021-10-21 03:00:00,69,0.1,75,28,94,1014
2021-10-21 04:00:00,69,0.1,167,27,87,1014
2021-10-21 05:00:00,23,0.2,69,26,89,1014
